generation,N_shifts,logPrior,logLik,eventRate,acceptRate
38300,0,6.53008,2.13662,0.0753575,0.486667
38400,0,6.83468,4.62228,0.0311989,0.465
38500,0,7.06269,5.09079,0.0329241,0.452
38600,0,6.46253,6.00696,0.336269,0.441667
38700,0,6.65781,2.81414,0.140982,0.425714
38800,0,6.68628,-2.96564,0.112513,0.42375
38900,0,6.66097,0.760952,0.061482,0.414444
39000,0,6.36841,-2.52079,0.0981064,0.414
39100,0,6.36986,-2.89044,0.235608,0.42
39200,0,6.31898,-1.85381,0.262629,0.435
39300,0,6.71123,-4.47273,0.135321,0.436667
39400,0,5.85959,-4.99081,0.986951,0.405
39500,0,6.59312,-1.58195,0.113047,0.418
39600,1,13.2034,-0.373492,0.702808,0.413333
39700,1,13.3502,4.6985,0.183056,0.408571
39800,1,13.623,-0.348823,0.183056,0.4075
39900,0,6.65723,1.44475,0.136396,0.408889
