generation,N_shifts,logPrior,logLik,eventRate,acceptRate
26900,1,14.9731,45.8036,0.915049,0.175556
27000,1,16.8373,48.9065,0.277718,0.356616
27100,1,16.9434,48.3922,0.171579,0.15
27200,1,15.6166,49.9879,1.23631,0.18
27300,1,16.2273,54.5411,0.57152,0.2
27400,1,15.382,62.5314,1.46536,0.1925
27500,2,23.9919,61.1088,0.368471,0.188
27600,2,22.8079,61.0316,1.41979,0.195
27700,2,21.8659,63.8531,1.70243,0.194286
27800,1,13.6403,63.439,3.09217,0.2025
27900,1,16.9114,67.7326,0.186133,0.2
28000,3,32.0626,34.0031,0.35464,0.1745
28100,3,31.5651,34.3341,0.871423,0.18
28200,2,22.0336,34.9617,1.5696,0.205
28300,2,21.6137,45.1352,1.5696,0.23
28400,1,13.2337,43.2479,2.55194,0.2225
28500,3,26.4445,44.6754,3.28383,0.204
28600,2,20.91,47.5958,1.90455,0.201667
28700,2,20.2944,49.5338,2.66986,0.197143
28800,2,19.9455,47.7543,2.66986,0.20125
28900,3,26.632,48.2935,1.49123,0.195556
29000,0,8.12277,43.9256,0.66429,0.193714
29100,1,16.7145,39.8019,0.148118,0.17
29200,0,8.51679,39.3389,0.249399,0.18
29300,1,14.4918,36.8761,2.42105,0.19
29400,0,7.8463,45.0572,0.919887,0.19
29500,1,15.1529,44.9954,0.919887,0.188
29600,0,7.86559,42.4186,0.919887,0.186667
29700,0,8.04376,38.4524,0.741715,0.18
29800,1,14.2152,37.8379,1.47202,0.18625
29900,1,15.1337,42.6761,1.08617,0.192222
30000,5,43.793,94.4389,4.63497,0.1931
30100,5,45.6615,95.9919,2.8731,0.15
30200,6,54.6757,96.2448,2.8731,0.155
30300,5,45.9808,97.1002,4.01681,0.173333
30400,5,48.7498,92.7538,1.823,0.1675
30500,6,53.6627,90.7463,4.6522,0.17
30600,7,60.4745,92.8507,4.6522,0.18
30700,6,52.1426,97.6425,4.59861,0.188571
30800,2,24.5457,97.1096,0.987596,0.19625
30900,2,24.677,93.9539,0.60597,0.196667
31000,0,8.29708,50.7083,0.498023,0.1885
31100,0,8.42869,48.2433,0.366409,0.17
31200,1,16.6596,49.5328,0.319037,0.185
31300,1,15.0624,54.7228,0.963127,0.203333
31400,1,14.3707,65.3409,1.63679,0.205
31500,3,29.5566,66.7237,1.63679,0.22
31600,3,29.5566,69.446,1.63679,0.216667
31700,1,15.1183,66.0869,1.63679,0.214286
31800,1,13.9351,68.8525,2.418,0.21125
31900,1,15.4362,70.1907,0.732702,0.214444
